PREVIEWS JULY VOL. 23 #7

PAGE 24					
PREVIEWS PUBLICATIONS					
SPOT	JUL13 0184	BATMAN SUPERMAN #3.1 DOOMSDAY	9/25/2013	SRP: $3.99	 = $
PAGE 99					
DC UNIVERSE: BATMAN					
SPOT	JUL13 0185	BATMAN #23.1 JOKER	9/4/2013	SRP: $3.99	 = $
PAGE 100					
	JUL13 0186	BATMAN #23.2 RIDDLER	9/11/2013	SRP: $3.99	 = $
PAGE 101					
	JUL13 0187	BATMAN #23.3 PENGUIN	9/18/2013	SRP: $3.99	 = $
	JUL13 0188	BATMAN #23.4 BANE	9/25/2013	SRP: $3.99	 = $
PAGE 102					
SPOT	JUL13 0189	BATMAN AND ROBIN #23.1 TWO FACE	9/4/2013	SRP: $3.99	 = $
PAGE 103					
	JUL13 0190	BATMAN AND ROBIN #23.2 COURT OF OWLS	9/11/2013	SRP: $3.99	 = $
PAGE 104					
	JUL13 0191	BATMAN AND ROBIN #23.3 RAS AL GHUL	9/18/2013	SRP: $3.99	 = $
	JUL13 0192	BATMAN AND ROBIN #23.4 KILLER CROC	9/25/2013	SRP: $3.99	 = $
PAGE 105					
SPOT	JUL13 0193	BATMAN THE DARK KNIGHT #23.1 VENTRILOQUIST	9/4/2013	SRP: $3.99	 = $
PAGE 106					
	JUL13 0194	BATMAN THE DARK KNIGHT #23.2 MR FREEZE	9/11/2013	SRP: $3.99	 = $
PAGE 107					
	JUL13 0195	BATMAN THE DARK KNIGHT #23.3 CLAYFACE	9/18/2013	SRP: $3.99	 = $
	JUL13 0196	BATMAN THE DARK KNIGHT #23.4 JOKERS DAUGHTER	9/25/2013	SRP: $3.99	 = $
PAGE 108					
SPOT	JUL13 0197	DETECTIVE COMICS #23.1 POISON IVY	9/4/2013	SRP: $3.99	 = $
PAGE 109					
	JUL13 0198	DETECTIVE COMICS #23.2 HARLEY QUINN	9/11/2013	SRP: $3.99	 = $
PAGE 110					
	JUL13 0199	DETECTIVE COMICS #23.3 SCARECROW	9/18/2013	SRP: $3.99	 = $
	JUL13 0200	DETECTIVE COMICS #23.4 MAN BAT	9/25/2013	SRP: $3.99	 = $
PAGE 111					
DC UNIVERSE: GREEN LANTERN					
SPOT	JUL13 0201	GREEN LANTERN #23.1 RELIC	9/4/2013	SRP: $3.99	 = $
PAGE 112					
	JUL13 0202	GREEN LANTERN #23.2 MONGUL	9/11/2013	SRP: $3.99	 = $
PAGE 113					
	JUL13 0203	GREEN LANTERN #23.3 BLACK HAND	9/18/2013	SRP: $3.99	 = $
	JUL13 0204	GREEN LANTERN #23.4 SINESTRO	9/25/2013	SRP: $3.99	 = $
PAGE 114					
DC UNIVERSE: THE DARK					
SPOT	JUL13 0205	SWAMP THING #23.1 ARCANE	9/18/2013	SRP: $3.99	 = $
PAGE 115					
DC UNIVERSE: YOUNG JUSTICE					
SPOT	JUL13 0206	TEEN TITANS #23.1 TRIGON	9/11/2013	SRP: $3.99	 = $
	JUL13 0207	TEEN TITANS #23.2 DEATHSTROKE	9/18/2013	SRP: $3.99	 = $
PAGE 116					
DC COMICS					
	JUL13 0208	BATMAN BLACK & WHITE #1 (OF 6)	9/4/2013	SRP: $4.99	 = $
